Text_Response,HealthLiteracy_Score,HealthNumeracy_Score,TrustInDoctors_Score,AnxietyVisiting_Score,DrugExperience_Rating,Age,Gender,Race,Income,Education
My physician always listens to me.,4.4,9.6,7.6,6.4,1.6,58,Male,White,"> £50,000",University Degree
I feel lost when reading health information. Doctors have always helped me recover well.,2.4,1.5,8.8,6.4,3.8,32,Male,White,"> £50,000",High School
I feel lost when reading health information. My trust in healthcare professionals is very high.,1.2,9.7,8.5,2.9,1.7,20,Male,White,"< £30,000",College Diploma
Medical terms confuse me a lot.,2.7,3.7,5.7,4.9,2.2,19,Non-binary,Black,"> £50,000",Postgraduate
,6.5,2.3,3.6,4.3,2.8,46,Non-binary,Asian,"< £30,000",College Diploma
My doctor uses terminology I understand well.,8.1,2.8,5.6,6.3,1.2,62,Female,Asian,"£30,000-£50,000",College Diploma
"I feel really anxious before seeing any doctor. Some drugs caused side effects, but I worked with my doctor to adjust.",6.5,2.5,1.6,9.5,4.9,79,Female,White,"< £30,000",Postgraduate
Medical journals help me stay informed about my condition. I get sweaty palms before appointments.,8.3,3.7,1.9,7.2,2.8,72,Female,Not Specified,"£30,000-£50,000",High School
I feel lost when reading health information. I avoid going to hospitals unless absolutely necessary.,2.1,5.5,1.3,9.2,2.0,25,Female,White,"> £50,000",University Degree
I feel confident navigating health portals and understanding prescriptions.,7.0,3.8,5.7,5.9,1.7,54,Male,White,"< £30,000",College Diploma
Medical journals help me stay informed about my condition. I avoid going to hospitals unless absolutely necessary. My physician always listens to me.,9.7,8.0,9.5,9.1,3.4,23,Male,White,"£30,000-£50,000",University Degree
I always research symptoms and medication before appointments.,9.3,1.8,2.8,1.4,2.3,41,Female,Black,"> £50,000",University Degree
My physician always listens to me.,4.5,3.4,8.5,4.2,2.1,56,Non-binary,Black,"> £50,000",College Diploma
"I’ve had the same doctor for years, and I feel confident in their care. After a few trials, I found the right medication for my condition.",5.9,2.3,8.2,1.7,4.9,47,Female,Asian,"> £50,000",College Diploma
I always research symptoms and medication before appointments. Clinics give me panic attacks sometimes.,8.0,2.8,1.0,8.3,3.8,32,Male,Asian,"£30,000-£50,000",University Degree
Medical journals help me stay informed about my condition.,7.6,7.9,1.7,4.2,1.5,76,Non-binary,Asian,"< £30,000",Postgraduate
My doctor uses terminology I understand well.,8.8,6.6,4.0,1.6,2.2,74,Non-binary,Other,"< £30,000",University Degree
