Text_Response,HealthLiteracy_Score,HealthNumeracy_Score,TrustInDoctors_Score,AnxietyVisiting_Score,DrugExperience_Rating,Age,Gender_Female,Gender_Male,Gender_Non-binary,Race_Asian,Race_Black,Race_Not Specified,Race_Other,Race_White,"Income_< £30,000","Income_> £50,000","Income_£30,000-£50,000",Education_College Diploma,Education_High School,Education_Postgraduate,Education_University Degree
my physician always listens to me,4.4,9.6,7.6,6.4,1.6,58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
i feel lost when reading health information doctors have always helped me recover well,2.4,1.5,8.8,6.4,3.8,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
i feel lost when reading health information my trust in healthcare professionals is very high,1.2,9.7,8.5,2.9,1.7,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
medical terms confuse me a lot,2.7,3.7,5.7,4.9,2.2,19,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
my doctor uses terminology i understand well,8.1,2.8,5.6,6.3,1.2,62,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
i feel really anxious before seeing any doctor some drugs caused side effects but i worked with my doctor to adjust,6.5,2.5,1.6,9.5,4.9,79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
medical journals help me stay informed about my condition i get sweaty palms before appointments,8.3,3.7,1.9,7.2,2.8,72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
i feel lost when reading health information i avoid going to hospitals unless absolutely necessary,2.1,5.5,1.3,9.2,2.0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
i feel confident navigating health portals and understanding prescriptions,7.0,3.8,5.7,5.9,1.7,54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
medical journals help me stay informed about my condition i avoid going to hospitals unless absolutely necessary my physician always listens to me,9.7,8.0,9.5,9.1,3.4,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
